kind,etag,id,snippet.channelId,snippet.title,snippet.assignable
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,UCBR8-60-B28hp2BmDPdntcQ,film & animation,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,UCBR8-60-B28hp2BmDPdntcQ,autos & vehicles,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,UCBR8-60-B28hp2BmDPdntcQ,music,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,UCBR8-60-B28hp2BmDPdntcQ,pets & animals,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,UCBR8-60-B28hp2BmDPdntcQ,sports,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""",18,UCBR8-60-B28hp2BmDPdntcQ,short movies,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/M-3iD9dwK7YJCafRf_DkLN8CouA""",19,UCBR8-60-B28hp2BmDPdntcQ,travel & events,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WmA0qYEfjWsAoyJFSw2zinhn2wM""",20,UCBR8-60-B28hp2BmDPdntcQ,gaming,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EapFaGYG7K0StIXVf8aba249tdM""",21,UCBR8-60-B28hp2BmDPdntcQ,videoblogging,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xId8RX7vRN8rqkbYZbNIytUQDRo""",22,UCBR8-60-B28hp2BmDPdntcQ,people & blogs,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/G9LHzQmx44rX2S5yaga_Aqtwz8M""",23,UCBR8-60-B28hp2BmDPdntcQ,comedy,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""",24,UCBR8-60-B28hp2BmDPdntcQ,entertainment,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QiLK0ZIrFoORdk_g2l_XR_ECjDc""",25,UCBR8-60-B28hp2BmDPdntcQ,news & politics,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r6Ck6Z0_L0rG37VJQR200SGNA_w""",26,UCBR8-60-B28hp2BmDPdntcQ,howto & style,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EoYkczo9I3RCf96RveKTOgOPkUM""",27,UCBR8-60-B28hp2BmDPdntcQ,education,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/w5HjcTD82G_XA3xBctS30zS-JpQ""",28,UCBR8-60-B28hp2BmDPdntcQ,science & technology,True
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/lL7uWDr_071CHxifjYG1tJrp4Uo""",30,UCBR8-60-B28hp2BmDPdntcQ,movies,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WnuVfjO-PyFLO7NTRQIbrGE62nk""",31,UCBR8-60-B28hp2BmDPdntcQ,anime/animation,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ctpH2hGA_UZ3volJT_FTlOg9M00""",32,UCBR8-60-B28hp2BmDPdntcQ,action/adventure,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""",33,UCBR8-60-B28hp2BmDPdntcQ,classics,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/pUZOAC_s9sfiwar639qr_wAB-aI""",34,UCBR8-60-B28hp2BmDPdntcQ,comedy,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xb5JLhtyNRN3AQq021Ds-OV50Jk""",35,UCBR8-60-B28hp2BmDPdntcQ,documentary,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/u8WXzF4HIhtEi805__sqjuA4lEk""",36,UCBR8-60-B28hp2BmDPdntcQ,drama,False
youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""",37,UCBR8-60-B28hp2BmDPdntcQ,family,False
